name,nickname,age,wins,losses,draws,mma_score
Tom Aaron,,46,5,3,0,-13
Danny Abbadi,The Assassin,42,4,6,0,-18
Nariman Abbasov,Bayraktar,31,28,4,0,-3
David Abbott,Tank,60,10,15,0,-45
Hamdy Abdelwahab,The Hammer,32,6,1,0,3
Mansur Abdul-Malik,,27,9,0,0,35
Shamil Abdurakhimov,Abrek,43,20,8,0,-19
Hiroyuki Abe,Abe Ani,,8,15,3,0
Daichi Abe,,33,6,2,0,0
Papy Abedi,Makambo,47,10,4,0,-20
Ricardo Abreu,Demente,41,5,1,0,-8
Klidson Abreu,White Bear,32,15,4,0,0
Cyborg Abreu,,44,0,0,0,-9
Daniel Acacio,,47,30,18,0,-10
John Adajar,The Outlaw,34,6,2,0,-3
Scott Adams,,,8,1,0,0
Juan Adams,The Kraken,33,5,3,0,4
Anthony Adams,Sugafoot,37,8,2,0,-13
Zarrukh Adashev,The Lion,32,4,4,0,-3
Israel Adesanya,The Last Stylebender,35,24,5,0,-6
Sam Adkins,The Experience,60,7,20,2,-24
Mohamed Ado,,25,5,1,0,-3
Nick Agallar,,46,24,6,0,-19
Mariya Agapova,Money Mashka,28,10,5,0,-6
Kantharaj Agasa,Kannadiga,33,12,3,0,0
